remote-sensing inversion	DierssenImageDiffuse
9	6
Comments: 
02/13/17	19:19:05
Image	debug\gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.hdr
Transect	debug\BathymetryImageDierssen_gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.txt
Params	Default
Alpha	0.01
NIter	5
Width/Height	5
X	Y	RRS555	RRS670	Depth	T	
1655	605	1464.36	2542.66	0.147848	8.01117	
1705	605	1477.84	2588.62	0.146165	7.90359	
1755	605	1272.18	2526.38	0.123817	7.97315	
1805	605	1509.34	2178.51	0.18757	8.33579	
1855	605	1554.63	3068.72	0.124818	7.90169	
5	655	1962.04	3438.87	0.146047	12.3997	
55	655	2340.81	3904.89	0.155769	12.264	
105	655	2675.28	3653.5	0.201141	9.27813	
155	655	1984.16	2919.67	0.183027	9.1409	
205	655	0	0	-1.#IND	9.73846	
255	655	3449.03	4039.82	0.243331	8.91511	
305	655	2345.18	2989.36	0.21923	9.90762	
355	655	1895.34	2295.37	0.233559	8.03283	
405	655	0	0	-1.#IND	8.70376	
455	655	0	0	-1.#IND	8.11	
505	655	0	0	-1.#IND	8.21301	
555	655	0	0	-1.#IND	11.9995	
605	655	2452.76	1483.24	0.522033	11.8276	
655	655	2412.81	1475.69	0.515654	12.0603	
705	655	0	0	-1.#IND	11.3046	
755	655	339.277	228.667	0.463513	9.35681	
805	655	0	0	-1.#IND	9.0204	
855	655	0	0	-1.#IND	9.30322	
